name,size,price,proof,type
NEW AMSTERDAM VODKA 100,1.75 L (Large),24.99,100,Vodka
NEW AMSTERDAM VODKA 100,750 ML (Standard),18.99,100,Vodka
BLANCHARDS VODKA 80,1.75 L (Large),11.99,80,Vodka
STOLI FLV BLUEBERI 70,750 ML (Standard),19.99,70,Vodka
DEEP EDDY PEACH VDK 70,1.75 L (Large),22.99,70,Vodka
SOBIESKI VODKA 80,750 ML (Standard),12.99,80,Vodka
NEW AMSTERDAM MANGO VDK 70,750 ML (Standard),15.49,70,Vodka
SKYY INF BLOOD ORANGE VDK 70,750 ML (Standard),13.99,70,Vodka
NEW AMSTERDAM RED BERRY VDK 70,750 ML (Standard),15.49,70,Vodka
SKYY INF WILD STRAWBRY VDK 70,750 ML (Standard),13.99,70,Vodka
SMIRNOFF FLV PINEAPPLE 70,1.75 L (Large),22.99,70,Vodka
CROP ORGANIC VODKA 70,750 ML (Standard),19.99,70,Vodka
ABSOLUT APEACH VDK 80,750 ML (Standard),21.99,80,Vodka
EFFEN RASPBERRY VDK 75,750 ML (Standard),22.99,75,Vodka
GREY GOOSE L'ORANGE 80,1.75 L (Large),49.99,80,Vodka
SKYY INF CHERRY VDK 70,750 ML (Standard),13.99,70,Vodka
SVEDKA CUCUMBER LIME 70,1.75 L (Large),15.99,70,Vodka
STOLI FLV RAZBERI 70,750 ML (Standard),19.99,70,Vodka
SVEDKA PEACH 70,1.75 L (Large),15.99,70,Vodka
SMIRNOFF FLV RASPBERRY 70,750 ML (Standard),14.99,70,Vodka
RUBINOFF RASPBERRY VDK 60,1.75 L (Large),11.99,60,Vodka
BERKSHIRE DIST ICE GLEN VODKA 80,750 ML (Standard),19.99,80,Vodka
DEEP EDDY PEACH VDK 70,750 ML (Standard),17.99,70,Vodka
ABSOLUT MANGO VDK 80,750 ML (Standard),21.99,80,Vodka
SKYY INF PINEAPPLE VDK 70,750 ML (Standard),13.99,70,Vodka
CROP LEMON VODKA 70,750 ML (Standard),19.99,70,Vodka
HAMMER & SICKLE VODKA 80,750 ML (Standard),21.49,80,Vodka
SVEDKA ROSE 60,1.75 L (Large),15.99,60,Vodka
CIROC MANGO VDK 70,1.75 L (Large),51.99,70,Vodka
BELVEDERE VODKA 80,750 ML (Standard),35.99,80,Vodka
GREY GOOSE LE CITRON 80,1.75 L (Large),49.99,80,Vodka
NEW AMSTERDAM GLUTEN FREE VDK 80,750 ML (Standard),15.99,80,Vodka
SMIRNOFF FLV VANILLA 70,750 ML (Standard),14.99,70,Vodka
STOLI FLV OHRANJ 70,1.75 L (Large),29.99,70,Vodka
NEW AMSTERDAM APPLE VDK 70,750 ML (Standard),15.49,70,Vodka
EFFEN GREEN APPLE VDK 75,750 ML (Standard),22.99,75,Vodka
CROP CUCUMBER VODKA 70,750 ML (Standard),19.99,70,Vodka
BAK'S BISON GRASS VDK 82,750 ML (Standard),27.99,82,Vodka
EXCLUSIV VODKA 80,1.75 L (Large),19.99,80,Vodka
RUBINOFF VODKA 80,1.75 L (Large),11.99,80,Vodka
SMIRNOFF VODKA 80,750 ML (Standard),14.99,80,Vodka
VELO VODKA 80,750 ML (Standard),21.99,80,Vodka
SMIRNOFF FLV PEACH LEMONADE 60,750 ML (Standard),14.99,60,Vodka
TRULY VDK MANGO PINEAPPLE 60,1.75 L (Large),21.99,60,Vodka
TRULY VDK STRAW LEMONADE 60,1.75 L (Large),21.99,60,Vodka
TRULY VDK WILD BERRY 60,1.75 L (Large),21.99,60,Vodka
GRANDTEN WELLHOUSE VDK 80,1.75 L (Large),24.99,80,Vodka
INDUSTRIOUS OSTREIDA VDK 80,750 ML (Standard),35.99,80,Vodka
NIKKA COFFEY VODKA 80,750 ML (Standard),44.99,80,Vodka
OYSTERVILLE VODKA 80,750 ML (Standard),26.99,80,Vodka
NEW AMSTERDAM RASPBERRY VDK 70,750 ML (Standard),15.49,70,Vodka
SMIRNOFF FLV GRN APPLE 70,750 ML (Standard),14.99,70,Vodka
SEA ICE VODKA 80,1 L,8.99,80,Vodka
GRAINGERS ORG VODKA 80,750 ML (Standard),13.99,80,Vodka
NEW AMSTERDAM APPLE VDK 70,1.75 L (Large),23.99,70,Vodka
BURNETTS RASPBERRY VDK 70,1.75 L (Large),14.99,70,Vodka
TRIPLE EIGHT BLUEBERRY VDK 68,750 ML (Standard),24.99,68,Vodka
RUBINOFF RUBY RED VDK 60,1.75 L (Large),11.99,60,Vodka
SMIRNOFF FLV CITRUS 70,750 ML (Standard),14.99,70,Vodka
LEGEND OF KREMLIN 80,750 ML (Standard),44.99,80,Vodka
DEEP EDDY LIME VDK 70,750 ML (Standard),17.99,70,Vodka
KHOR VODKA 80,1.75 L (Large),23.99,80,Vodka
COSSACK VODKA 80,1.75 L (Large),11.99,80,Vodka
TRIPLE EIGHT VODKA 80,750 ML (Standard),24.99,80,Vodka
RUBINOFF PINEAPPLE VDK 60,1.75 L (Large),11.99,60,Vodka
RUBINOFF MANGO VDK 60,1.75 L (Large),11.99,60,Vodka
RUBINOFF PINK LEMONADE VDK 60,1.75 L (Large),11.99,60,Vodka
RUBINOFF BLUEBERRY VDK 60,1.75 L (Large),11.99,60,Vodka
RUBINOFF WATERMELON VDK 60,1.75 L (Large),11.99,60,Vodka
THREE OLIVES PEACH VDK 70,1 L,11.99,70,Vodka
THREE OLIVES GRAPEFRUIT VDK 70,1 L,11.99,70,Vodka
