,name,size,price,proof,type
178,CIROC PINEAPPLE VDK 70,750 ML (Standard),$35.99 ,70,Vodka
179,BELVEDERE VODKA 80,1.75 L (Large),$48.99 ,80,Vodka
180,SMIRNOFF FLV RASPBERRY 70,1.75 L (Large),$22.99 ,70,Vodka
181,DEEP EDDY VODKA 80,1.75 L (Large),$22.99 ,80,Vodka
182,SMIRNOFF FLV KISSED CARAMEL 60,750 ML (Standard),$14.99 ,60,Vodka
183,KETEL ONE GRAPE ROSE VDK 60,750 ML (Standard),$19.99 ,60,Vodka
184,REYKA VODKA 80,750 ML (Standard),$20.99 ,80,Vodka
185,SKYY VODKA 80,750 ML (Standard),$13.49 ,80,Vodka
186,DEEP EDDY LEMON VDK 70,1.75 L (Large),$22.99 ,70,Vodka
187,SMIRNOFF FLV STRAWBERRY 70,1.75 L (Large),$22.99 ,70,Vodka
188,SMIRNOFF FLV VANILLA 70,1.75 L (Large),$22.99 ,70,Vodka
189,SOBIESKI VODKA 80 - POLAND,1.75 L (Large),$19.99 ,POLAND,Vodka
190,SVEDKA VODKA 80,750 ML (Standard),$9.99 ,80,Vodka
191,RUSSIAN STND VODKA 80,1.75 L (Large),$29.99 ,80,Vodka
192,SVEDKA VODKA 80,1 L,$16.99 ,80,Vodka
193,GREY GOOSE WATER BASIL 60,750 ML (Standard),$27.99 ,60,Vodka
194,CIROC VODKA 80,750 ML (Standard),$35.99 ,80,Vodka
195,GREY GOOSE STRAW LEMON 60,750 ML (Standard),$27.99 ,60,Vodka
196,SMIRNOFF FLV ORANGE 70,1.75 L (Large),$22.99 ,70,Vodka
197,SMIRNOFF FLV WATERMELON 70,750 ML (Standard),$14.99 ,70,Vodka
198,DEEP EDDY CRANBERRY VDK 70,1.75 L (Large),$22.99 ,70,Vodka
199,SMIRNOFF FLV CHERRY 70,1.75 L (Large),$22.99 ,70,Vodka
200,SMIRNOFF FLV PINK LEMONADE 60,750 ML (Standard),$14.99 ,60,Vodka
201,GREY GOOSE PEACH ROSE 60,750 ML (Standard),$27.99 ,60,Vodka
202,NEW AMSTERDAM PINEAPPLE VDK 70,1.75 L (Large),$23.99 ,70,Vodka
203,CIROC PEACH VDK 70,750 ML (Standard),$35.99 ,70,Vodka
204,ABSOLUT VANILLA VDK 80,750 ML (Standard),$21.99 ,80,Vodka
205,SMIRNOFF FLV WHIPPED CREAM 60,750 ML (Standard),$14.99 ,60,Vodka
206,CHOPIN SMALL BATCH VDK 80,1.75 L (Large),$37.99 ,80,Vodka
207,SMIRNOFF FLV PINK LEMONADE 60,1.75 L (Large),$22.99 ,60,Vodka
208,CIROC RED BERRY VDK 70,750 ML (Standard),$35.99 ,70,Vodka
209,SMIRNOFF FLV CITRUS 70,1.75 L (Large),$22.99 ,70,Vodka
210,SMIRNOFF FLV WATERMELON 70,1.75 L (Large),$22.99 ,70,Vodka
